"","nombre","categoryName","address","location.lat","location.lng","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","day"
"1","Alakami Investments","Supermarket","Mercado mayorista, Santa Anita, Peru",-12.0370177,-76.9479746,1,1,0,6,11,15,19,22,24,24,21,15,8,0,1,1,1,1,1,1,1,1,1,1,"Mo"
"2","Brena market","Market","Jr. Restauración, Cercado de Lima 15083, Peru",-12.064933,-77.0479141,NA,NA,NA,NA,NA,0,0,21,32,41,45,44,38,31,25,21,18,0,0,0,0,0,0,NA,"Mo"
"3","Cachina 12","Market","calle bongara S/N Av Canto Grande PRD. 12 San Juan de Lurigancho Gobierno Regional de Lima LIMA, 36, Peru",-11.9647692,-77.0023254,NA,NA,NA,NA,NA,0,0,0,11,19,24,24,20,18,20,21,17,0,0,0,0,0,0,NA,"Mo"
"4","Centro Comercial ""COVIDA""","Market","Av. c/ Calle 15301 Perú, Daniel Hernandez, Lima, Peru",-11.9945527,-77.0767379,NA,NA,NA,NA,NA,0,11,22,37,52,62,65,58,47,40,45,64,86,94,78,48,0,0,NA,"Mo"
"5","Eduardo Mercado Chachi Divos","Market","Lima District 15096, Peru",-12.0174017,-77.0272044,NA,NA,NA,NA,NA,0,0,20,36,47,49,47,43,37,28,21,25,43,69,84,75,48,0,NA,"Mo"
"6","Elio Cooperative MARKET","Market","Roberto Thorndike Galup 1423, Cercado de Lima 15081, Peru",-12.0555109,-77.068861,NA,NA,NA,NA,NA,0,1,4,12,21,26,25,17,9,2,1,1,1,1,0,0,0,0,NA,"Mo"
"7","Future Market Peru","Flea market","Av Carabayllo, Lima 15311, Peru",-11.957948,-77.058859,NA,NA,NA,NA,0,1,27,61,27,44,56,55,48,42,36,30,21,0,0,0,0,0,NA,NA,"Mo"
"8","Gran Mercado Conzac","Shopping mall","Av. Angélica Gamarra 850, Cercado de Lima 15302, Peru",-12.0056994,-77.0714531,NA,NA,NA,0,3,9,17,25,32,38,42,42,36,27,22,24,30,33,30,21,11,NA,NA,NA,"Mo"
"9","Grumete Salamanca Market","Market","Calle Benjamín Franklin 620, Distrito de Lima 15022, Distrito de Lima 15022, Peru",-12.0670714,-76.9753465,NA,NA,NA,NA,NA,0,19,32,42,46,44,39,34,31,30,28,26,0,0,0,0,0,0,NA,"Mo"
"10","José Carlos Mariategui market","Market","Av José Carlos Mariategui 32, Lima 15412, Peru",-11.9680011,-77.0108485,NA,NA,NA,NA,0,4,9,17,27,38,45,43,34,23,18,17,18,19,0,0,0,0,NA,NA,"Mo"
"11","jueves Mercado Mirones","Market","Mariano Angulo 2421, Cercado de Lima 15081, Peru",-12.0372318,-77.0724978,NA,NA,NA,NA,0,2,7,15,27,39,45,42,33,23,15,11,9,7,0,0,0,0,NA,NA,"Mo"
"12","Market First of June","Market","Av. Alejandro Bertello 800, Cercado de Lima 15088, Peru",-12.0634113,-77.0708737,NA,NA,NA,NA,NA,0,0,34,56,62,56,55,64,71,67,52,34,19,0,0,0,0,0,NA,"Mo"
"13","Market October 9","Market","A Gomez, Cercado de Lima 15079, Peru",-12.0376207,-77.0604926,NA,NA,NA,NA,NA,0,0,27,36,45,54,59,59,50,40,27,13,0,0,0,0,0,0,NA,"Mo"
"14","Market san gabriel","Market","Azulejos 420, Distrito de Lima 15434, Peru",-11.9908396,-77.0029811,NA,NA,NA,NA,0,5,11,20,30,40,47,48,44,36,30,28,33,38,37,26,0,0,NA,NA,"Mo"
"15","Market Santa Rosa","Market","Jirón Amazonas, San Martín de Porres 15106, Peru",-12.0363012,-77.0886102,NA,NA,NA,NA,NA,0,2,5,27,51,63,59,44,32,27,26,26,0,0,0,0,0,0,NA,"Mo"
"16","Market The Hermit","Market","Lima District 15333, Peru",-11.9971997,-77.0528444,NA,NA,NA,NA,0,1,6,18,35,50,53,44,29,17,11,11,11,9,6,2,0,0,NA,NA,"Mo"
"17","Mercado ""La Merced""","Market","Avenida Emancipación, Cercado de Lima 15001, Peru",-12.0455791,-77.0391687,NA,NA,NA,NA,0,2,10,23,41,52,51,46,42,40,37,30,29,46,62,41,0,0,NA,NA,"Mo"
"18","Mercado ""Virgen del Carmen""","Market","Lima District 15434, Peru",-11.9929654,-77.0047444,NA,NA,NA,NA,NA,0,5,18,34,44,43,36,29,22,17,15,15,15,12,8,0,0,0,NA,"Mo"
"19","Mercado Artesanal","Market","Calle Gral. Suárez 315, Cercado de Lima 15074, Peru",-12.117468,-77.0279299,1,0,0,0,0,1,1,3,13,34,59,73,65,50,47,58,69,70,59,40,22,9,2,1,"Mo"
"20","Mercado Artesanal San Borja","Market","Av San Luis 1873, Lima 15021, Peru",-12.0855981,-76.9966405,NA,NA,NA,NA,NA,0,3,17,29,35,44,57,60,48,31,25,45,77,77,41,0,0,0,NA,"Mo"
"21","Mercado Belen","Market","Av Lima 2481, Cercado de Lima 15101, Peru",-12.0295233,-77.0718085,NA,NA,NA,NA,0,0,0,21,35,35,28,28,35,35,35,28,21,0,0,0,0,0,NA,NA,"Mo"
"22","Mercado Bolivar Pueblo Libre","Market","Jirón Mariano Pastor Sevilla 287-129, Cercado de Lima 15084, Peru",-12.0733048,-77.0656046,NA,NA,NA,NA,NA,0,7,18,30,39,49,60,57,41,29,25,23,16,0,0,0,0,0,NA,"Mo"
"23","Mercado Buenos Aires","Market","Prol. Lucanas 283, Cercado de Lima 15001, Peru",-12.0542514,-77.0195084,NA,NA,NA,NA,NA,0,20,35,38,37,42,47,38,21,7,1,1,1,0,0,0,0,0,NA,"Mo"
"24","Mercado Canta Callao","Market","Lima District 15109, Peru",-11.9835095,-77.0979738,NA,NA,NA,NA,0,0,2,2,34,63,47,21,26,31,10,2,2,0,0,0,0,0,NA,NA,"Mo"
"25","Mercado Central","Shopping mall","Jirón Ucayali 615, Cercado de Lima 15001, Peru",-12.0502319,-77.0260494,NA,NA,NA,NA,NA,0,3,8,16,28,42,54,62,62,58,57,60,61,51,32,0,0,0,NA,"Mo"
"26","Mercado Centro Cívico","Market","Lima District 15101, Peru",-12.0282366,-77.0720097,NA,NA,NA,NA,0,1,1,6,16,27,33,31,24,14,5,1,1,0,0,0,0,0,NA,NA,"Mo"
"27","Mercado Conde de la Vega","Market","Jiron Acomayo, Av. Dos de Mayo 102, Cercado de Lima 15079, Peru",-12.03794,-77.0490996,NA,NA,NA,NA,NA,0,0,0,23,32,37,36,30,23,17,13,11,10,9,0,0,0,0,NA,"Mo"
"28","Mercado Corpac","Market","Av. Antunez de Mayolo, Distrito de Lima 15108, Peru",-12.0040721,-77.0942546,NA,NA,NA,NA,NA,0,0,0,45,75,86,68,44,35,40,40,27,0,0,0,0,0,0,NA,"Mo"
"29","Mercado De Las Praderas","Market","Yarquil 218, Cercado de Lima 15009, Peru",-12.0336931,-76.9626433,NA,NA,NA,NA,0,10,19,32,43,50,50,42,32,23,19,17,19,19,16,12,0,0,NA,NA,"Mo"
